PC      	REG 	VALUE   
80000020	08  	00000001
80000024	09  	00000001
80000028	04  	80010000
8000002c	12  	80010100
80000030	10  	00000002
80000034	08  	00000001
80000038	09  	00000002
80000040	11  	00000002
8000004c	04  	80010004
80000030	10  	00000003
80000034	08  	00000002
80000038	09  	00000003
80000040	11  	00000003
8000004c	04  	80010008
80000030	10  	00000005
80000034	08  	00000003
80000038	09  	00000005
80000040	11  	00000005
8000004c	04  	8001000c
80000030	10  	00000008
80000034	08  	00000005
80000038	09  	00000008
80000040	11  	00000008
8000004c	04  	80010010
80000030	10  	0000000d
80000034	08  	00000008
80000038	09  	0000000d
80000040	11  	0000000d
8000004c	04  	80010014
80000030	10  	00000015
80000034	08  	0000000d
80000038	09  	00000015
80000040	11  	00000015
8000004c	04  	80010018
80000030	10  	00000022
80000034	08  	00000015
80000038	09  	00000022
80000040	11  	00000022
8000004c	04  	8001001c
80000030	10  	00000037
80000034	08  	00000022
80000038	09  	00000037
80000040	11  	00000037
8000004c	04  	80010020
80000030	10  	00000059
80000034	08  	00000037
80000038	09  	00000059
80000040	11  	00000059
8000004c	04  	80010024
80000030	10  	00000090
80000034	08  	00000059
80000038	09  	00000090
80000040	11  	00000090
8000004c	04  	80010028
80000030	10  	000000e9
80000034	08  	00000090
80000038	09  	000000e9
80000040	11  	000000e9
8000004c	04  	8001002c
80000030	10  	00000179
80000034	08  	000000e9
80000038	09  	00000179
80000040	11  	00000179
8000004c	04  	80010030
80000030	10  	00000262
80000034	08  	00000179
80000038	09  	00000262
80000040	11  	00000262
8000004c	04  	80010034
80000030	10  	000003db
80000034	08  	00000262
80000038	09  	000003db
80000040	11  	000003db
8000004c	04  	80010038
80000030	10  	0000063d
80000034	08  	000003db
80000038	09  	0000063d
80000040	11  	0000063d
8000004c	04  	8001003c
80000030	10  	00000a18
80000034	08  	0000063d
80000038	09  	00000a18
80000040	11  	00000a18
8000004c	04  	80010040
80000030	10  	00001055
80000034	08  	00000a18
80000038	09  	00001055
